#chr	start	end	strand	transcript	gene	AED	QI2
6	1298039	1299943	+	transcript:Zm00001d034994_T001	gene:Zm00001d034994	0.42	0.33
6	1386203	1390124	+	transcript:Zm00001d034998_T003	gene:Zm00001d034998	0.22	0.6
6	1386203	1390124	+	transcript:Zm00001d034998_T002	gene:Zm00001d034998	0.23	0.5
6	1386207	1390124	+	transcript:Zm00001d034998_T005	gene:Zm00001d034998	0.16	0.33
6	1186173	1188041	+	transcript:Zm00001d034987_T001	gene:Zm00001d034987	0.42	0.5
6	1838710	1842269	-	transcript:Zm00001d035014_T001	gene:Zm00001d035014	0.17	0.66
6	1843376	1848804	+	transcript:Zm00001d035015_T001	gene:Zm00001d035015	0.29	0.62
6	2457269	2461309	-	transcript:Zm00001d035033_T001	gene:Zm00001d035033	0.06	0.33
6	2733866	2734904	+	transcript:Zm00001d035036_T001	gene:Zm00001d035036	0.31	0.5
6	2749906	2752345	-	transcript:Zm00001d035037_T002	gene:Zm00001d035037	0.33	0.5
6	2749914	2752345	-	transcript:Zm00001d035037_T004	gene:Zm00001d035037	0.24	0.5
6	2749918	2752351	-	transcript:Zm00001d035037_T005	gene:Zm00001d035037	0.34	0.5
6	2749943	2752348	-	transcript:Zm00001d035037_T006	gene:Zm00001d035037	0.33	0.5
6	2749958	2752345	-	transcript:Zm00001d035037_T007	gene:Zm00001d035037	0.33	0.5
6	2749958	2752349	-	transcript:Zm00001d035037_T008	gene:Zm00001d035037	0.22	0.5
6	2749959	2752348	-	transcript:Zm00001d035037_T009	gene:Zm00001d035037	0.32	0.5
6	2749971	2752345	-	transcript:Zm00001d035037_T010	gene:Zm00001d035037	0.28	0.5
6	2749971	2752348	-	transcript:Zm00001d035037_T011	gene:Zm00001d035037	0.27	0.5
6	2750092	2752345	-	transcript:Zm00001d035037_T012	gene:Zm00001d035037	0.32	0.33
6	2750096	2752345	-	transcript:Zm00001d035037_T013	gene:Zm00001d035037	0.31	0.33
6	2749869	2752337	-	transcript:Zm00001d035038_T001	gene:Zm00001d035038	0.22	0.66
6	2749874	2752442	-	transcript:Zm00001d035038_T003	gene:Zm00001d035038	0.22	0.5
6	2750082	2752983	-	transcript:Zm00001d035038_T004	gene:Zm00001d035038	0.32	0.5
6	3023428	3028699	+	transcript:Zm00001d035044_T014	gene:Zm00001d035044	0.13	0.55
6	3023461	3028531	+	transcript:Zm00001d035044_T015	gene:Zm00001d035044	0.11	0.66
6	3023461	3028639	+	transcript:Zm00001d035044_T018	gene:Zm00001d035044	0.28	0.75
6	3023461	3028639	+	transcript:Zm00001d035044_T016	gene:Zm00001d035044	0.14	0.62
6	3023461	3028639	+	transcript:Zm00001d035044_T017	gene:Zm00001d035044	0.14	0.62
6	3023461	3028699	+	transcript:Zm00001d035044_T021	gene:Zm00001d035044	0.06	0.66
6	3023468	3028699	+	transcript:Zm00001d035044_T022	gene:Zm00001d035044	0.07	0.66
6	3023492	3028639	+	transcript:Zm00001d035044_T026	gene:Zm00001d035044	0.15	0.62
6	3023492	3028699	+	transcript:Zm00001d035044_T028	gene:Zm00001d035044	0.15	0.55
6	3023496	3028699	+	transcript:Zm00001d035044_T029	gene:Zm00001d035044	0.08	0.71
6	3023511	3028699	+	transcript:Zm00001d035044_T033	gene:Zm00001d035044	0.08	0.71
6	3023861	3028699	+	transcript:Zm00001d035044_T034	gene:Zm00001d035044	0.10	0.66
6	3024254	3028531	+	transcript:Zm00001d035044_T035	gene:Zm00001d035044	0.13	0.66
6	3086730	3091723	-	transcript:Zm00001d035048_T001	gene:Zm00001d035048	0.40	0.5
6	3099877	3101179	+	transcript:Zm00001d035049_T002	gene:Zm00001d035049	0.40	0.33
6	3099877	3101179	+	transcript:Zm00001d035049_T001	gene:Zm00001d035049	0.37	0.5
6	3226476	3230772	-	transcript:Zm00001d035051_T001	gene:Zm00001d035051	0.27	0.75
6	3352346	3357639	-	transcript:Zm00001d035056_T002	gene:Zm00001d035056	0.16	0.5
6	3352449	3357614	-	transcript:Zm00001d035056_T003	gene:Zm00001d035056	0.05	0.66
6	3446941	3448048	+	transcript:Zm00001d035058_T001	gene:Zm00001d035058	0.46	0.75
6	3457238	3458328	-	transcript:Zm00001d035060_T001	gene:Zm00001d035060	0.14	0.75
6	3457238	3458388	-	transcript:Zm00001d035060_T002	gene:Zm00001d035060	0.04	0.66
6	3469975	3471537	-	transcript:Zm00001d035063_T002	gene:Zm00001d035063	0.04	0.5
6	3271742	3274263	+	transcript:Zm00001d035053_T002	gene:Zm00001d035053	0.18	0.6
6	3285705	3286769	-	transcript:Zm00001d035054_T002	gene:Zm00001d035054	0.25	0.5
6	3285705	3286769	-	transcript:Zm00001d035054_T001	gene:Zm00001d035054	0.28	0.66
6	3285806	3286767	-	transcript:Zm00001d035054_T003	gene:Zm00001d035054	0.31	0.66
6	3728916	3729893	-	transcript:Zm00001d035068_T001	gene:Zm00001d035068	0.21	0.66
6	3928244	3931456	+	transcript:Zm00001d035076_T001	gene:Zm00001d035076	0.17	0.66
6	4651758	4659779	-	transcript:Zm00001d035088_T001	gene:Zm00001d035088	0.15	0.71
6	4722278	4738066	-	transcript:Zm00001d035089_T009	gene:Zm00001d035089	0.44	0.75
6	4928007	4934615	+	transcript:Zm00001d035093_T013	gene:Zm00001d035093	0.20	0.72
6	5508720	5509944	+	transcript:Zm00001d035106_T001	gene:Zm00001d035106	0.17	0.33
6	6620118	6623924	-	transcript:Zm00001d035136_T001	gene:Zm00001d035136	0.22	0.5
6	6621710	6623882	-	transcript:Zm00001d035136_T003	gene:Zm00001d035136	0.33	0.33
6	6672824	6678338	-	transcript:Zm00001d035139_T001	gene:Zm00001d035139	0.30	0.66
6	6672883	6675096	-	transcript:Zm00001d035139_T003	gene:Zm00001d035139	0.33	0.5
6	6672884	6678678	-	transcript:Zm00001d035139_T004	gene:Zm00001d035139	0.31	0.66
6	6672915	6678678	-	transcript:Zm00001d035139_T005	gene:Zm00001d035139	0.31	0.66
6	6672917	6675146	-	transcript:Zm00001d035139_T006	gene:Zm00001d035139	0.34	0.5
6	6799752	6803397	-	transcript:Zm00001d035140_T003	gene:Zm00001d035140	0.33	0.5
6	6853985	6855853	-	transcript:Zm00001d035141_T001	gene:Zm00001d035141	0.22	0.5
6	6901070	6907660	+	transcript:Zm00001d035145_T001	gene:Zm00001d035145	0.38	0.33
6	7048494	7050657	-	transcript:Zm00001d035149_T001	gene:Zm00001d035149	0.17	0.75
6	7062012	7065762	-	transcript:Zm00001d035151_T003	gene:Zm00001d035151	0.28	0.6
6	7062012	7065762	-	transcript:Zm00001d035151_T002	gene:Zm00001d035151	0.26	0.66
6	7457972	7466028	-	transcript:Zm00001d035165_T001	gene:Zm00001d035165	0.50	0.4
6	7509319	7511675	+	transcript:Zm00001d035168_T003	gene:Zm00001d035168	0.29	0.75
6	7509319	7511675	+	transcript:Zm00001d035168_T002	gene:Zm00001d035168	0.30	0.6
6	7509399	7511602	+	transcript:Zm00001d035168_T004	gene:Zm00001d035168	0.22	0.66
6	8514156	8518686	-	transcript:Zm00001d035183_T004	gene:Zm00001d035183	0.34	0.5
6	8532240	8535334	+	transcript:Zm00001d035184_T001	gene:Zm00001d035184	0.05	0.75
6	9612014	9614439	-	transcript:Zm00001d035201_T003	gene:Zm00001d035201	0.42	0.5
6	9612030	9614439	-	transcript:Zm00001d035201_T004	gene:Zm00001d035201	0.40	0.66
6	10273734	10275321	-	transcript:Zm00001d035215_T001	gene:Zm00001d035215	0.45	0.66
6	10796872	10800007	+	transcript:Zm00001d035217_T002	gene:Zm00001d035217	0.23	0.71
6	10796872	10800007	+	transcript:Zm00001d035217_T001	gene:Zm00001d035217	0.14	0.66
6	15530210	15536423	-	transcript:Zm00001d035229_T001	gene:Zm00001d035229	0.26	0.75
6	15651139	15656858	+	transcript:Zm00001d035230_T001	gene:Zm00001d035230	0.31	0.75
6	16089925	16093478	+	transcript:Zm00001d035235_T001	gene:Zm00001d035235	0.36	0.75
6	16276743	16279273	+	transcript:Zm00001d035240_T001	gene:Zm00001d035240	0.21	0.5
6	16780651	16782019	-	transcript:Zm00001d035245_T001	gene:Zm00001d035245	0.43	0.75
6	17370147	17373221	-	transcript:Zm00001d035253_T001	gene:Zm00001d035253	0.46	0.5
6	18170392	18176924	-	transcript:Zm00001d035263_T001	gene:Zm00001d035263	0.03	0.66
6	18507871	18512655	+	transcript:Zm00001d035265_T002	gene:Zm00001d035265	0.25	0.57
6	18771626	18780948	-	transcript:Zm00001d035267_T001	gene:Zm00001d035267	0.11	0.66
6	18772444	18780948	-	transcript:Zm00001d035267_T003	gene:Zm00001d035267	0.44	0.75
6	18822574	18823959	+	transcript:Zm00001d035269_T003	gene:Zm00001d035269	0.36	0.6
6	18837806	18852247	+	transcript:Zm00001d035270_T010	gene:Zm00001d035270	0.30	0.5
6	18983813	18992571	-	transcript:Zm00001d035277_T001	gene:Zm00001d035277	0.39	0.5
6	19011896	19013003	-	transcript:Zm00001d035278_T001	gene:Zm00001d035278	0.25	0.66
6	19371307	19372532	-	transcript:Zm00001d035286_T001	gene:Zm00001d035286	0.23	0.33
6	19371307	19372534	-	transcript:Zm00001d035286_T002	gene:Zm00001d035286	0.27	0.5
6	19565187	19578045	+	transcript:Zm00001d035292_T002	gene:Zm00001d035292	0.12	0.63
6	20155214	20157157	-	transcript:Zm00001d035298_T006	gene:Zm00001d035298	0.42	0.75
6	20202492	20204651	-	transcript:Zm00001d035302_T001	gene:Zm00001d035302	0.31	0.66
6	20202533	20204651	-	transcript:Zm00001d035302_T002	gene:Zm00001d035302	0.37	0.75
6	20659538	20661422	-	transcript:Zm00001d035312_T002	gene:Zm00001d035312	0.25	0.66
6	20661472	20668061	+	transcript:Zm00001d035313_T002	gene:Zm00001d035313	0.11	0.66
