#chr	start	end	strand	transcript	gene	AED	QI2
10	265243	271813	-	transcript:Zm00001d023211_T001	gene:Zm00001d023211	0.13	0.75
10	602997	607834	+	transcript:Zm00001d023217_T004	gene:Zm00001d023217	0.12	0.5
10	603060	607803	+	transcript:Zm00001d023217_T006	gene:Zm00001d023217	0.39	0.66
10	706951	712844	-	transcript:Zm00001d023222_T019	gene:Zm00001d023222	0.19	0.71
10	1292263	1294372	-	transcript:Zm00001d023242_T001	gene:Zm00001d023242	0.44	0.5
10	1565488	1584591	-	transcript:Zm00001d023262_T031	gene:Zm00001d023262	0.46	0.75
10	1594399	1599381	-	transcript:Zm00001d023262_T071	gene:Zm00001d023262	0.39	0.66
10	1592479	1594282	+	transcript:Zm00001d023263_T001	gene:Zm00001d023263	0.12	0.5
10	1592479	1594283	+	transcript:Zm00001d023263_T002	gene:Zm00001d023263	0.09	0.75
10	1592479	1594283	+	transcript:Zm00001d023263_T003	gene:Zm00001d023263	0.19	0.33
10	1592833	1594283	+	transcript:Zm00001d023263_T004	gene:Zm00001d023263	0.16	0.66
10	1608010	1611706	-	transcript:Zm00001d023265_T016	gene:Zm00001d023265	0.26	0.75
10	1608318	1611688	-	transcript:Zm00001d023265_T019	gene:Zm00001d023265	0.27	0.5
10	1670707	1671857	+	transcript:Zm00001d023266_T001	gene:Zm00001d023266	0.43	0.75
10	1497523	1503954	-	transcript:Zm00001d023258_T001	gene:Zm00001d023258	0.07	0.66
10	1808635	1810618	+	transcript:Zm00001d023272_T010	gene:Zm00001d023272	0.37	0.66
10	2039718	2045302	+	transcript:Zm00001d023281_T003	gene:Zm00001d023281	0.42	0.66
10	2039718	2045302	+	transcript:Zm00001d023281_T002	gene:Zm00001d023281	0.36	0.66
10	2041832	2045302	+	transcript:Zm00001d023281_T010	gene:Zm00001d023281	0.44	0.4
10	2275658	2276154	-	transcript:Zm00001d023295_T001	gene:Zm00001d023295	0.49	0.5
10	2276776	2279300	-	transcript:Zm00001d023296_T002	gene:Zm00001d023296	0.24	0.66
10	2344261	2346609	-	transcript:Zm00001d023298_T001	gene:Zm00001d023298	0.13	0.6
10	2352149	2356132	+	transcript:Zm00001d023299_T005	gene:Zm00001d023299	0.41	0.66
10	2361841	2365420	+	transcript:Zm00001d023300_T003	gene:Zm00001d023300	0.40	0.71
10	2361841	2365420	+	transcript:Zm00001d023300_T002	gene:Zm00001d023300	0.40	0.75
10	2433551	2439201	+	transcript:Zm00001d023303_T023	gene:Zm00001d023303	0.32	0.71
10	2433582	2437359	+	transcript:Zm00001d023303_T033	gene:Zm00001d023303	0.33	0.66
10	2559349	2562953	+	transcript:Zm00001d023304_T004	gene:Zm00001d023304	0.33	0.66
10	2559550	2562930	+	transcript:Zm00001d023304_T011	gene:Zm00001d023304	0.34	0.66
10	2559552	2562930	+	transcript:Zm00001d023304_T012	gene:Zm00001d023304	0.34	0.66
10	2743366	2754357	+	transcript:Zm00001d023311_T001	gene:Zm00001d023311	0.26	0.33
10	2746221	2754154	+	transcript:Zm00001d023311_T025	gene:Zm00001d023311	0.34	0.75
10	2749751	2754267	+	transcript:Zm00001d023311_T041	gene:Zm00001d023311	0.32	0.5
10	2862930	2865816	-	transcript:Zm00001d023317_T017	gene:Zm00001d023317	0.21	0.5
10	2862938	2865816	-	transcript:Zm00001d023317_T019	gene:Zm00001d023317	0.18	0.5
10	2950377	2954949	-	transcript:Zm00001d023318_T003	gene:Zm00001d023318	0.33	0.5
10	2950377	2965782	-	transcript:Zm00001d023318_T007	gene:Zm00001d023318	0.31	0.5
10	2950381	2955038	-	transcript:Zm00001d023318_T016	gene:Zm00001d023318	0.33	0.33
10	2950382	2954979	-	transcript:Zm00001d023318_T020	gene:Zm00001d023318	0.33	0.5
10	2950388	2955013	-	transcript:Zm00001d023318_T022	gene:Zm00001d023318	0.33	0.33
10	2950449	2954955	-	transcript:Zm00001d023318_T028	gene:Zm00001d023318	0.34	0.33
10	2950449	2954955	-	transcript:Zm00001d023318_T027	gene:Zm00001d023318	0.34	0.5
10	2950449	2955042	-	transcript:Zm00001d023318_T029	gene:Zm00001d023318	0.33	0.5
10	2950449	2955085	-	transcript:Zm00001d023318_T032	gene:Zm00001d023318	0.33	0.5
10	2950462	2954928	-	transcript:Zm00001d023318_T035	gene:Zm00001d023318	0.34	0.5
10	2950462	2955316	-	transcript:Zm00001d023318_T038	gene:Zm00001d023318	0.33	0.5
10	3428535	3435073	-	transcript:Zm00001d023326_T001	gene:Zm00001d023326	0.31	0.5
10	3428583	3433500	-	transcript:Zm00001d023326_T002	gene:Zm00001d023326	0.38	0.33
10	3428612	3435004	-	transcript:Zm00001d023326_T005	gene:Zm00001d023326	0.31	0.5
10	3428716	3435004	-	transcript:Zm00001d023326_T007	gene:Zm00001d023326	0.31	0.66
10	3430416	3434991	-	transcript:Zm00001d023326_T016	gene:Zm00001d023326	0.36	0.33
10	3430416	3434999	-	transcript:Zm00001d023326_T022	gene:Zm00001d023326	0.36	0.5
10	3430416	3434999	-	transcript:Zm00001d023326_T021	gene:Zm00001d023326	0.36	0.33
10	3430416	3434999	-	transcript:Zm00001d023326_T020	gene:Zm00001d023326	0.36	0.5
10	3430416	3435001	-	transcript:Zm00001d023326_T023	gene:Zm00001d023326	0.36	0.33
10	3430416	3435067	-	transcript:Zm00001d023326_T027	gene:Zm00001d023326	0.36	0.33
10	3430429	3434999	-	transcript:Zm00001d023326_T029	gene:Zm00001d023326	0.36	0.66
10	3430430	3435001	-	transcript:Zm00001d023326_T030	gene:Zm00001d023326	0.36	0.33
10	3430436	3434999	-	transcript:Zm00001d023326_T031	gene:Zm00001d023326	0.37	0.5
10	3460713	3465514	-	transcript:Zm00001d023327_T001	gene:Zm00001d023327	0.39	0.66
10	3462404	3467005	-	transcript:Zm00001d023327_T014	gene:Zm00001d023327	0.37	0.33
10	3462404	3467013	-	transcript:Zm00001d023327_T017	gene:Zm00001d023327	0.37	0.33
10	3462404	3467013	-	transcript:Zm00001d023327_T018	gene:Zm00001d023327	0.38	0.5
10	3462404	3467013	-	transcript:Zm00001d023327_T019	gene:Zm00001d023327	0.37	0.5
10	3462404	3467015	-	transcript:Zm00001d023327_T021	gene:Zm00001d023327	0.37	0.33
10	3462404	3467081	-	transcript:Zm00001d023327_T025	gene:Zm00001d023327	0.37	0.33
10	3462443	3467013	-	transcript:Zm00001d023327_T027	gene:Zm00001d023327	0.37	0.66
10	3462444	3467015	-	transcript:Zm00001d023327_T028	gene:Zm00001d023327	0.38	0.33
10	3462450	3467013	-	transcript:Zm00001d023327_T029	gene:Zm00001d023327	0.38	0.5
10	3287230	3292633	-	transcript:Zm00001d023323_T001	gene:Zm00001d023323	0.08	0.33
10	3287230	3292720	-	transcript:Zm00001d023323_T002	gene:Zm00001d023323	0.09	0.5
10	3287356	3292426	-	transcript:Zm00001d023323_T003	gene:Zm00001d023323	0.03	0.66
10	3287523	3292434	-	transcript:Zm00001d023323_T007	gene:Zm00001d023323	0.03	0.5
10	3287571	3292436	-	transcript:Zm00001d023323_T015	gene:Zm00001d023323	0.04	0.5
10	3287774	3292436	-	transcript:Zm00001d023323_T024	gene:Zm00001d023323	0.05	0.5
10	3287777	3292436	-	transcript:Zm00001d023323_T033	gene:Zm00001d023323	0.05	0.66
10	3287778	3292468	-	transcript:Zm00001d023323_T037	gene:Zm00001d023323	0.06	0.5
10	3287785	3292484	-	transcript:Zm00001d023323_T039	gene:Zm00001d023323	0.05	0.5
10	3287816	3292501	-	transcript:Zm00001d023323_T040	gene:Zm00001d023323	0.05	0.33
10	3287820	3292436	-	transcript:Zm00001d023323_T041	gene:Zm00001d023323	0.07	0.5
10	3287853	3292434	-	transcript:Zm00001d023323_T044	gene:Zm00001d023323	0.07	0.5
10	3287858	3292434	-	transcript:Zm00001d023323_T045	gene:Zm00001d023323	0.06	0.66
10	3287860	3292434	-	transcript:Zm00001d023323_T051	gene:Zm00001d023323	0.06	0.5
10	3287865	3292434	-	transcript:Zm00001d023323_T054	gene:Zm00001d023323	0.06	0.5
10	3288238	3292434	-	transcript:Zm00001d023323_T063	gene:Zm00001d023323	0.09	0.5
10	3289011	3292599	-	transcript:Zm00001d023323_T067	gene:Zm00001d023323	0.19	0.5
10	3606398	3621010	-	transcript:Zm00001d023333_T003	gene:Zm00001d023333	0.29	0.7
