#chr	start	end	strand	transcript	gene	AED	QI2
4	821353	823207	-	transcript:Zm00001d048591_T001	gene:Zm00001d048591	0.26	0.33
4	980011	981702	+	transcript:Zm00001d048594_T001	gene:Zm00001d048594	0.18	0.5
4	1024648	1028086	+	transcript:Zm00001d048596_T002	gene:Zm00001d048596	0.39	0.4
4	1294082	1306354	-	transcript:Zm00001d048613_T001	gene:Zm00001d048613	0.31	0.33
4	1307248	1309817	-	transcript:Zm00001d048614_T002	gene:Zm00001d048614	0.43	0.75
4	1774615	1782445	-	transcript:Zm00001d048632_T002	gene:Zm00001d048632	0.20	0.6
4	1774615	1782673	-	transcript:Zm00001d048632_T003	gene:Zm00001d048632	0.17	0.55
4	1774615	1782824	-	transcript:Zm00001d048632_T004	gene:Zm00001d048632	0.16	0.6
4	1774615	1782873	-	transcript:Zm00001d048632_T005	gene:Zm00001d048632	0.13	0.63
4	2460061	2463705	+	transcript:Zm00001d048639_T001	gene:Zm00001d048639	0.14	0.5
4	2633271	2635509	-	transcript:Zm00001d048652_T001	gene:Zm00001d048652	0.39	0.5
4	2959105	2960799	-	transcript:Zm00001d048661_T002	gene:Zm00001d048661	0.44	0.33
4	2963433	2979198	-	transcript:Zm00001d048663_T001	gene:Zm00001d048663	0.21	0.33
4	3003539	3015421	-	transcript:Zm00001d048667_T010	gene:Zm00001d048667	0.32	0.75
4	3124349	3125476	+	transcript:Zm00001d048674_T001	gene:Zm00001d048674	0.18	0.5
4	3197914	3204309	-	transcript:Zm00001d048680_T001	gene:Zm00001d048680	0.31	0.62
4	3198503	3199759	-	transcript:Zm00001d048680_T006	gene:Zm00001d048680	0.45	0.5
4	3238046	3249838	+	transcript:Zm00001d048684_T004	gene:Zm00001d048684	0.41	0.66
4	3251055	3252592	-	transcript:Zm00001d048686_T001	gene:Zm00001d048686	0.29	0.33
4	3847634	3850842	+	transcript:Zm00001d048712_T001	gene:Zm00001d048712	0.29	0.72
4	4146610	4150947	-	transcript:Zm00001d048717_T001	gene:Zm00001d048717	0.46	0.5
4	4146610	4150947	-	transcript:Zm00001d048717_T002	gene:Zm00001d048717	0.46	0.66
4	4153365	4160804	-	transcript:Zm00001d048718_T005	gene:Zm00001d048718	0.38	0.66
4	4153365	4160805	-	transcript:Zm00001d048718_T007	gene:Zm00001d048718	0.39	0.72
4	3440984	3444303	+	transcript:Zm00001d048696_T001	gene:Zm00001d048696	0.27	0.6
4	3509690	3513751	-	transcript:Zm00001d048701_T003	gene:Zm00001d048701	0.20	0.5
4	3509690	3515924	-	transcript:Zm00001d048701_T004	gene:Zm00001d048701	0.14	0.66
4	3509692	3515808	-	transcript:Zm00001d048701_T011	gene:Zm00001d048701	0.38	0.44
4	3509692	3515808	-	transcript:Zm00001d048701_T013	gene:Zm00001d048701	0.39	0.42
4	3509692	3515808	-	transcript:Zm00001d048701_T016	gene:Zm00001d048701	0.40	0.37
4	3509692	3516025	-	transcript:Zm00001d048701_T018	gene:Zm00001d048701	0.06	0.66
4	3509692	3516045	-	transcript:Zm00001d048701_T019	gene:Zm00001d048701	0.13	0.66
