#chr	start	end	strand	transcript	gene	AED	QI2
7	177173	178931	+	transcript:Zm00001d018594_T001	gene:Zm00001d018594	0.32	0.5
7	180280	183027	+	transcript:Zm00001d018595_T001	gene:Zm00001d018595	0.10	0.66
7	180283	183084	+	transcript:Zm00001d018595_T004	gene:Zm00001d018595	0.07	0.66
7	835476	838108	-	transcript:Zm00001d018609_T002	gene:Zm00001d018609	0.17	0.5
7	839229	844730	-	transcript:Zm00001d018610_T001	gene:Zm00001d018610	0.10	0.66
7	839229	844730	-	transcript:Zm00001d018610_T002	gene:Zm00001d018610	0.16	0.6
7	290154	295438	+	transcript:Zm00001d018596_T002	gene:Zm00001d018596	0.26	0.75
7	290258	295374	+	transcript:Zm00001d018596_T016	gene:Zm00001d018596	0.23	0.66
7	1023188	1026555	+	transcript:Zm00001d018615_T002	gene:Zm00001d018615	0.11	0.4
7	1162875	1177195	+	transcript:Zm00001d018619_T001	gene:Zm00001d018619	0.30	0.4
7	1661087	1662933	+	transcript:Zm00001d018648_T001	gene:Zm00001d018648	0.36	0.5
7	1661189	1662838	+	transcript:Zm00001d018648_T002	gene:Zm00001d018648	0.31	0.5
7	1671584	1673521	+	transcript:Zm00001d018649_T001	gene:Zm00001d018649	0.26	0.5
7	1671588	1673391	+	transcript:Zm00001d018649_T002	gene:Zm00001d018649	0.26	0.5
7	1691114	1692849	-	transcript:Zm00001d018650_T001	gene:Zm00001d018650	0.05	0.5
7	1471078	1475911	-	transcript:Zm00001d018643_T002	gene:Zm00001d018643	0.38	0.71
7	1471078	1475911	-	transcript:Zm00001d018643_T001	gene:Zm00001d018643	0.39	0.75
7	1879820	1881396	-	transcript:Zm00001d018652_T001	gene:Zm00001d018652	0.34	0.5
7	1879833	1881411	-	transcript:Zm00001d018652_T002	gene:Zm00001d018652	0.35	0.5
7	2050308	2051829	+	transcript:Zm00001d018656_T001	gene:Zm00001d018656	0.11	0.5
7	2101851	2109737	+	transcript:Zm00001d018664_T004	gene:Zm00001d018664	0.20	0.72
7	2197743	2203093	+	transcript:Zm00001d018667_T010	gene:Zm00001d018667	0.20	0.5
7	2249179	2251587	+	transcript:Zm00001d018668_T002	gene:Zm00001d018668	0.19	0.33
7	2251937	2257510	-	transcript:Zm00001d018669_T004	gene:Zm00001d018669	0.17	0.66
7	2275210	2277000	-	transcript:Zm00001d018674_T001	gene:Zm00001d018674	0.06	0.5
7	2290957	2293252	-	transcript:Zm00001d018675_T001	gene:Zm00001d018675	0.12	0.5
7	1297801	1304085	-	transcript:Zm00001d018625_T079	gene:Zm00001d018625	0.17	0.66
7	1327873	1335548	+	transcript:Zm00001d018626_T002	gene:Zm00001d018626	0.25	0.33
7	1401157	1403921	+	transcript:Zm00001d018636_T001	gene:Zm00001d018636	0.02	0.5
7	1401270	1403798	+	transcript:Zm00001d018636_T004	gene:Zm00001d018636	0.08	0.5
7	1419805	1420698	-	transcript:Zm00001d018639_T010	gene:Zm00001d018639	0.46	0.66
7	1419807	1420776	-	transcript:Zm00001d018639_T011	gene:Zm00001d018639	0.45	0.5
7	1419823	1420780	-	transcript:Zm00001d018639_T015	gene:Zm00001d018639	0.45	0.5
7	1419912	1420789	-	transcript:Zm00001d018639_T016	gene:Zm00001d018639	0.45	0.5
7	1465054	1469043	-	transcript:Zm00001d018642_T001	gene:Zm00001d018642	0.32	0.7
7	1465054	1470400	-	transcript:Zm00001d018642_T002	gene:Zm00001d018642	0.30	0.72
7	2896907	2898715	+	transcript:Zm00001d018709_T003	gene:Zm00001d018709	0.20	0.5
7	3098353	3100099	+	transcript:Zm00001d018722_T001	gene:Zm00001d018722	0.13	0.33
7	3338958	3343406	-	transcript:Zm00001d018732_T002	gene:Zm00001d018732	0.21	0.66
7	3348456	3353285	+	transcript:Zm00001d018733_T004	gene:Zm00001d018733	0.37	0.66
7	4065083	4069219	-	transcript:Zm00001d018746_T002	gene:Zm00001d018746	0.21	0.5
7	3845219	3851137	+	transcript:Zm00001d018742_T007	gene:Zm00001d018742	0.05	0.5
7	4279746	4284968	+	transcript:Zm00001d018754_T001	gene:Zm00001d018754	0.28	0.5
7	4282837	4285157	+	transcript:Zm00001d018754_T002	gene:Zm00001d018754	0.50	0.5
7	4195129	4197386	-	transcript:Zm00001d018751_T001	gene:Zm00001d018751	0.06	0.75
7	4770466	4774110	+	transcript:Zm00001d018770_T014	gene:Zm00001d018770	0.31	0.6
