#chr	start	end	strand	transcript	gene	AED	QI2
1	51121	55716	-	transcript:Zm00001d027231_T007	gene:Zm00001d027231	0.13	0.75
1	199411	205715	-	transcript:Zm00001d027240_T005	gene:Zm00001d027240	0.46	0.75
1	199475	204822	-	transcript:Zm00001d027240_T010	gene:Zm00001d027240	0.50	0.66
1	209979	215216	-	transcript:Zm00001d027242_T001	gene:Zm00001d027242	0.37	0.37
1	209979	215216	-	transcript:Zm00001d027242_T003	gene:Zm00001d027242	0.38	0.37
1	209979	215216	-	transcript:Zm00001d027242_T002	gene:Zm00001d027242	0.37	0.4
1	209985	214649	-	transcript:Zm00001d027242_T004	gene:Zm00001d027242	0.22	0.75
1	328329	332172	-	transcript:Zm00001d027248_T002	gene:Zm00001d027248	0.21	0.57
1	420213	420863	+	transcript:Zm00001d027253_T001	gene:Zm00001d027253	0.01	0.5
1	1067813	1073195	-	transcript:Zm00001d027271_T002	gene:Zm00001d027271	0.34	0.66
1	1067813	1073195	-	transcript:Zm00001d027271_T003	gene:Zm00001d027271	0.29	0.66
1	1067887	1073206	-	transcript:Zm00001d027271_T009	gene:Zm00001d027271	0.24	0.66
1	1067889	1073126	-	transcript:Zm00001d027271_T011	gene:Zm00001d027271	0.26	0.66
1	1067898	1073169	-	transcript:Zm00001d027271_T012	gene:Zm00001d027271	0.26	0.75
1	1067900	1073202	-	transcript:Zm00001d027271_T015	gene:Zm00001d027271	0.27	0.75
1	1816514	1818676	+	transcript:Zm00001d027285_T001	gene:Zm00001d027285	0.40	0.5
1	2104761	2106303	+	transcript:Zm00001d027295_T001	gene:Zm00001d027295	0.27	0.5
1	2157260	2162225	-	transcript:Zm00001d027299_T015	gene:Zm00001d027299	0.37	0.33
1	2234150	2241438	-	transcript:Zm00001d027300_T004	gene:Zm00001d027300	0.13	0.75
1	2298093	2302943	+	transcript:Zm00001d027304_T006	gene:Zm00001d027304	0.14	0.72
1	2298093	2302943	+	transcript:Zm00001d027304_T002	gene:Zm00001d027304	0.15	0.72
1	2298175	2302439	+	transcript:Zm00001d027304_T014	gene:Zm00001d027304	0.12	0.71
