#chr	start	end	strand	transcript	gene	AED	QI2
2	546551	547601	-	transcript:Zm00001d001775_T001	gene:Zm00001d001775	0.06	0.66
2	99801	117243	-	transcript:Zm00001d001765_T001	gene:Zm00001d001765	0.33	0.45
2	830360	832876	+	transcript:Zm00001d001784_T001	gene:Zm00001d001784	0.08	0.75
2	830371	832876	+	transcript:Zm00001d001784_T002	gene:Zm00001d001784	0.09	0.6
2	1258169	1262749	-	transcript:Zm00001d001806_T002	gene:Zm00001d001806	0.04	0.75
2	1258774	1262749	-	transcript:Zm00001d001806_T008	gene:Zm00001d001806	0.11	0.75
2	1331499	1334759	+	transcript:Zm00001d001811_T002	gene:Zm00001d001811	0.19	0.66
2	1331815	1334759	+	transcript:Zm00001d001811_T004	gene:Zm00001d001811	0.28	0.33
2	1413629	1415916	+	transcript:Zm00001d001813_T002	gene:Zm00001d001813	0.30	0.6
2	1415888	1419728	-	transcript:Zm00001d001814_T002	gene:Zm00001d001814	0.08	0.5
2	1026064	1029335	-	transcript:Zm00001d001792_T001	gene:Zm00001d001792	0.20	0.5
2	1081627	1084219	+	transcript:Zm00001d001798_T001	gene:Zm00001d001798	0.35	0.5
2	1081766	1084219	+	transcript:Zm00001d001798_T003	gene:Zm00001d001798	0.28	0.66
2	1166301	1168004	-	transcript:Zm00001d001800_T001	gene:Zm00001d001800	0.06	0.75
2	1804780	1809357	+	transcript:Zm00001d001847_T002	gene:Zm00001d001847	0.20	0.75
2	1804818	1810928	+	transcript:Zm00001d001847_T005	gene:Zm00001d001847	0.36	0.75
2	1820635	1832707	-	transcript:Zm00001d001848_T031	gene:Zm00001d001848	0.46	0.66
2	1962797	1966211	-	transcript:Zm00001d001855_T001	gene:Zm00001d001855	0.11	0.6
2	1967641	1969505	-	transcript:Zm00001d001856_T001	gene:Zm00001d001856	0.32	0.75
2	1967641	1971106	-	transcript:Zm00001d001856_T002	gene:Zm00001d001856	0.11	0.71
2	1967641	1971106	-	transcript:Zm00001d001856_T003	gene:Zm00001d001856	0.11	0.71
2	2066590	2068771	+	transcript:Zm00001d001864_T001	gene:Zm00001d001864	0.39	0.66
2	1523935	1525135	-	transcript:Zm00001d001823_T001	gene:Zm00001d001823	0.39	0.33
2	1537721	1538885	-	transcript:Zm00001d001826_T001	gene:Zm00001d001826	0.20	0.5
2	1617225	1621286	+	transcript:Zm00001d001831_T004	gene:Zm00001d001831	0.10	0.5
2	1617314	1621252	+	transcript:Zm00001d001831_T005	gene:Zm00001d001831	0.13	0.33
2	1632057	1640150	+	transcript:Zm00001d001834_T021	gene:Zm00001d001834	0.03	0.72
2	1632057	1640150	+	transcript:Zm00001d001834_T020	gene:Zm00001d001834	0.09	0.66
2	1703673	1708071	+	transcript:Zm00001d001841_T001	gene:Zm00001d001841	0.16	0.66
2	2472648	2482331	+	transcript:Zm00001d001887_T001	gene:Zm00001d001887	0.45	0.5
2	2553344	2559999	-	transcript:Zm00001d001898_T005	gene:Zm00001d001898	0.16	0.72
2	2559817	2561845	+	transcript:Zm00001d001899_T001	gene:Zm00001d001899	0.22	0.66
2	2562960	2566404	+	transcript:Zm00001d001900_T001	gene:Zm00001d001900	0.30	0.66
2	2563024	2566418	+	transcript:Zm00001d001900_T004	gene:Zm00001d001900	0.11	0.75
2	2637043	2639743	+	transcript:Zm00001d001903_T003	gene:Zm00001d001903	0.44	0.5
2	2637043	2639743	+	transcript:Zm00001d001903_T004	gene:Zm00001d001903	0.41	0.66
2	2644303	2648830	-	transcript:Zm00001d001906_T002	gene:Zm00001d001906	0.06	0.71
2	2101181	2107162	+	transcript:Zm00001d001866_T001	gene:Zm00001d001866	0.36	0.5
