#chr	start	end	strand	transcript	gene	AED	QI2
3	379051	382211	+	transcript:Zm00001d039239_T001	gene:Zm00001d039239	0.33	0.4
3	469300	470222	-	transcript:Zm00001d039244_T001	gene:Zm00001d039244	0.22	0.5
3	552592	554604	-	transcript:Zm00001d039248_T001	gene:Zm00001d039248	0.37	0.5
3	750512	754984	+	transcript:Zm00001d039260_T003	gene:Zm00001d039260	0.35	0.66
3	751352	754921	+	transcript:Zm00001d039260_T004	gene:Zm00001d039260	0.40	0.66
3	754731	757177	-	transcript:Zm00001d039261_T001	gene:Zm00001d039261	0.02	0.5
3	826887	829560	-	transcript:Zm00001d039266_T003	gene:Zm00001d039266	0.36	0.33
3	826920	835054	-	transcript:Zm00001d039266_T004	gene:Zm00001d039266	0.19	0.66
3	826921	831412	-	transcript:Zm00001d039266_T006	gene:Zm00001d039266	0.27	0.57
3	826921	831427	-	transcript:Zm00001d039266_T007	gene:Zm00001d039266	0.26	0.66
3	826921	831440	-	transcript:Zm00001d039266_T009	gene:Zm00001d039266	0.26	0.66
3	826924	831433	-	transcript:Zm00001d039266_T011	gene:Zm00001d039266	0.26	0.66
3	826941	831400	-	transcript:Zm00001d039266_T012	gene:Zm00001d039266	0.27	0.57
3	838392	842742	-	transcript:Zm00001d039267_T002	gene:Zm00001d039267	0.16	0.61
3	838392	842742	-	transcript:Zm00001d039267_T003	gene:Zm00001d039267	0.17	0.66
3	916629	921348	-	transcript:Zm00001d039276_T002	gene:Zm00001d039276	0.10	0.75
3	918812	921348	-	transcript:Zm00001d039276_T003	gene:Zm00001d039276	0.33	0.66
3	961157	964772	+	transcript:Zm00001d039278_T002	gene:Zm00001d039278	0.28	0.75
3	961157	964772	+	transcript:Zm00001d039278_T003	gene:Zm00001d039278	0.30	0.75
3	1010424	1014099	+	transcript:Zm00001d039284_T004	gene:Zm00001d039284	0.37	0.66
3	1055429	1064357	-	transcript:Zm00001d039287_T001	gene:Zm00001d039287	0.02	0.75
3	1064929	1066033	-	transcript:Zm00001d039288_T001	gene:Zm00001d039288	0.11	0.66
3	1205141	1210270	-	transcript:Zm00001d039296_T001	gene:Zm00001d039296	0.45	0.5
3	1384839	1391865	+	transcript:Zm00001d039302_T001	gene:Zm00001d039302	0.09	0.75
3	1404117	1408225	+	transcript:Zm00001d039305_T002	gene:Zm00001d039305	0.21	0.71
3	1404117	1408225	+	transcript:Zm00001d039305_T003	gene:Zm00001d039305	0.22	0.71
3	1442017	1443887	+	transcript:Zm00001d039309_T001	gene:Zm00001d039309	0.05	0.5
3	1451511	1456285	-	transcript:Zm00001d039311_T001	gene:Zm00001d039311	0.24	0.75
3	1533955	1541737	+	transcript:Zm00001d039315_T007	gene:Zm00001d039315	0.22	0.7
3	1541745	1544236	-	transcript:Zm00001d039316_T001	gene:Zm00001d039316	0.38	0.75
3	1752431	1758105	-	transcript:Zm00001d039321_T001	gene:Zm00001d039321	0.35	0.6
3	1951002	1953024	-	transcript:Zm00001d039326_T001	gene:Zm00001d039326	0.05	0.75
3	2014008	2017590	+	transcript:Zm00001d039331_T002	gene:Zm00001d039331	0.18	0.5
3	2111877	2119656	-	transcript:Zm00001d039341_T032	gene:Zm00001d039341	0.11	0.71
3	2111889	2119620	-	transcript:Zm00001d039341_T036	gene:Zm00001d039341	0.14	0.71
3	2111895	2119653	-	transcript:Zm00001d039341_T040	gene:Zm00001d039341	0.12	0.66
3	2111914	2119651	-	transcript:Zm00001d039341_T084	gene:Zm00001d039341	0.12	0.5
3	2111934	2119644	-	transcript:Zm00001d039341_T096	gene:Zm00001d039341	0.12	0.71
3	2111938	2119605	-	transcript:Zm00001d039341_T098	gene:Zm00001d039341	0.12	0.66
3	2111991	2119575	-	transcript:Zm00001d039341_T116	gene:Zm00001d039341	0.12	0.71
3	2111995	2119650	-	transcript:Zm00001d039341_T126	gene:Zm00001d039341	0.15	0.71
3	2201670	2203002	+	transcript:Zm00001d039347_T001	gene:Zm00001d039347	0.21	0.5
3	2490334	2494816	-	transcript:Zm00001d039357_T001	gene:Zm00001d039357	0.27	0.53
3	2495318	2505484	+	transcript:Zm00001d039358_T001	gene:Zm00001d039358	0.41	0.57
3	2495318	2505484	+	transcript:Zm00001d039358_T002	gene:Zm00001d039358	0.37	0.57
3	2498260	2505484	+	transcript:Zm00001d039358_T003	gene:Zm00001d039358	0.48	0.4
3	2664440	2669139	-	transcript:Zm00001d039368_T003	gene:Zm00001d039368	0.04	0.5
3	2709285	2712754	+	transcript:Zm00001d039371_T001	gene:Zm00001d039371	0.12	0.5
