#chr	start	end	strand	transcript	gene	AED	QI2
5	32368	35546	-	transcript:Zm00001d012794_T001	gene:Zm00001d012794	0.40	0.71
5	32368	35546	-	transcript:Zm00001d012794_T003	gene:Zm00001d012794	0.42	0.33
5	50443	55137	-	transcript:Zm00001d012797_T002	gene:Zm00001d012797	0.32	0.69
5	50443	56305	-	transcript:Zm00001d012797_T004	gene:Zm00001d012797	0.31	0.64
5	50443	56305	-	transcript:Zm00001d012797_T003	gene:Zm00001d012797	0.31	0.64
5	92543	93529	+	transcript:Zm00001d012799_T002	gene:Zm00001d012799	0.18	0.5
5	92543	93529	+	transcript:Zm00001d012799_T003	gene:Zm00001d012799	0.17	0.5
5	92545	93529	+	transcript:Zm00001d012799_T006	gene:Zm00001d012799	0.17	0.5
5	92547	93529	+	transcript:Zm00001d012799_T009	gene:Zm00001d012799	0.17	0.5
5	243465	254786	-	transcript:Zm00001d012801_T005	gene:Zm00001d012801	0.41	0.6
5	243498	254786	-	transcript:Zm00001d012801_T008	gene:Zm00001d012801	0.41	0.75
5	243498	254815	-	transcript:Zm00001d012801_T011	gene:Zm00001d012801	0.41	0.75
5	254977	268446	-	transcript:Zm00001d012803_T001	gene:Zm00001d012803	0.38	0.55
5	259971	260697	+	transcript:Zm00001d012802_T001	gene:Zm00001d012802	0.44	0.33
5	376334	378291	+	transcript:Zm00001d012805_T001	gene:Zm00001d012805	0.30	0.5
5	380336	389692	-	transcript:Zm00001d012806_T002	gene:Zm00001d012806	0.39	0.75
5	380336	389692	-	transcript:Zm00001d012806_T001	gene:Zm00001d012806	0.39	0.71
5	380336	389692	-	transcript:Zm00001d012806_T003	gene:Zm00001d012806	0.39	0.62
5	696798	701482	+	transcript:Zm00001d012812_T003	gene:Zm00001d012812	0.41	0.5
5	848903	851854	-	transcript:Zm00001d012820_T002	gene:Zm00001d012820	0.37	0.5
5	919123	924671	+	transcript:Zm00001d012822_T003	gene:Zm00001d012822	0.15	0.6
5	919123	924671	+	transcript:Zm00001d012822_T004	gene:Zm00001d012822	0.15	0.66
5	919228	924232	+	transcript:Zm00001d012822_T023	gene:Zm00001d012822	0.13	0.57
5	934035	937151	+	transcript:Zm00001d012826_T002	gene:Zm00001d012826	0.23	0.66
5	934035	937151	+	transcript:Zm00001d012826_T003	gene:Zm00001d012826	0.31	0.4
5	939717	942951	+	transcript:Zm00001d012827_T005	gene:Zm00001d012827	0.20	0.71
5	956683	958210	-	transcript:Zm00001d012832_T003	gene:Zm00001d012832	0.17	0.33
5	958297	964764	+	transcript:Zm00001d012834_T002	gene:Zm00001d012834	0.22	0.5
5	983375	990618	-	transcript:Zm00001d012839_T001	gene:Zm00001d012839	0.40	0.33
5	983375	990618	-	transcript:Zm00001d012839_T002	gene:Zm00001d012839	0.40	0.66
5	1071447	1076029	+	transcript:Zm00001d012846_T002	gene:Zm00001d012846	0.23	0.66
5	1099259	1101667	-	transcript:Zm00001d012852_T001	gene:Zm00001d012852	0.24	0.75
5	1099259	1101821	-	transcript:Zm00001d012852_T003	gene:Zm00001d012852	0.23	0.75
5	1115964	1118656	+	transcript:Zm00001d012853_T002	gene:Zm00001d012853	0.09	0.5
5	1119957	1122205	-	transcript:Zm00001d012854_T001	gene:Zm00001d012854	0.32	0.6
5	898977	903918	+	transcript:Zm00001d012821_T002	gene:Zm00001d012821	0.13	0.71
5	898977	903918	+	transcript:Zm00001d012821_T003	gene:Zm00001d012821	0.14	0.57
5	1221504	1223598	+	transcript:Zm00001d012859_T001	gene:Zm00001d012859	0.20	0.5
5	1349308	1357093	+	transcript:Zm00001d012865_T004	gene:Zm00001d012865	0.31	0.64
5	1358413	1362950	+	transcript:Zm00001d012866_T005	gene:Zm00001d012866	0.32	0.4
5	1376000	1390316	+	transcript:Zm00001d012869_T003	gene:Zm00001d012869	0.44	0.4
5	1376000	1397493	+	transcript:Zm00001d012869_T005	gene:Zm00001d012869	0.40	0.68
5	1376000	1397493	+	transcript:Zm00001d012869_T004	gene:Zm00001d012869	0.40	0.61
5	1394068	1397493	+	transcript:Zm00001d012869_T034	gene:Zm00001d012869	0.50	0.71
5	1713093	1718062	-	transcript:Zm00001d012895_T003	gene:Zm00001d012895	0.05	0.6
5	1713445	1718034	-	transcript:Zm00001d012895_T010	gene:Zm00001d012895	0.10	0.66
5	1719447	1724104	-	transcript:Zm00001d012896_T002	gene:Zm00001d012896	0.28	0.6
5	1719750	1724039	-	transcript:Zm00001d012896_T011	gene:Zm00001d012896	0.26	0.5
5	1719750	1724041	-	transcript:Zm00001d012896_T012	gene:Zm00001d012896	0.23	0.66
5	1719750	1724144	-	transcript:Zm00001d012896_T013	gene:Zm00001d012896	0.35	0.33
